id_director,name_d
100001,Stanley Kubrick
100002,Randal Kleiser
100003,Irvin Kershner
100004,Jim Abrahams
100005,Harold Ramis
100006,Sean S. Cunningham
100007,John Landis
100008,Martin Scorsese
100009,Richard Lester
100010,Walter Hill
100011,Buddy Van Horn
100012,Jamie Uys
100013,Robert Altman
100014,Robert Redford
100015,Brian De Palma
100016,Jeannot Szwarc
100017,Alan Parker
100018,Colin Higgins
100019,John Carpenter
100020,Sidney Poitier
100021,William Friedkin
100022,Michael Cimino
100023,Don Taylor
100024,Robert Greenwald
100025,James Bridges
100026,Ken Russell
100027,Ron Maxwell
100028,Jerry Jameson
100029,Stuart Rosenberg
100030,Paul Schrader
100031,Tony Bill
100032,Paul Lynch
100033,Hal Needham
100034,Lamont Johnson
100035,Jay Sandrich
100036,Howard Zieff
100037,Floyd Mutrux
100038,Kevin Connor
100039,Richard Fleischer
100040,Michael Apted
100041,John Hough
100042,Bruce Beresford
100043,Richard Rush
100044,Art Linson
100045,Mike Newell
100046,Tommy Chong
100047,Michael Ritchie
100048,Ulli Lommel
100049,Clive Donner
100050,Moustapha Akkad
100051,Woody Allen
100052,Jonathan Demme
100053,Nancy Walker
100054,Clint Eastwood
100055,Federico Fellini
100056,Lang Elliott
100057,James Goldstone
100058,Joe Camp
100059,Eric Karson
100060,James L. Conway
100061,Vincent McEveety
100062,Joel Oliansky
100063,Claudia Weill
100064,Jerry Schatzberg
100065,Daniel Petrie
100066,Anne Bancroft
100067,Vladimir Menshov
100068,Piers Haggard
100069,Bill Persky
100070,Martin Davidson
100071,Gary Weis
100072,Bill Melendez
100073,Marty Feldman
100074,Alan Rudolph
100075,Sidney Lumet
100076,Charles Jarrott
100077,Walter Bernstein
100078,Paul Mazursky
100079,Franco Rosso
100080,Kieth Merrill
100081,John Huston
100082,Gordon Willis
100083,Jack Smight
100084,Paul Grimault
100085,Gilbert Cates
100086,Michael Pressman
100087,Édouard Molinaro
100088,Chuck Barris
100089,Mike Nichols
100090,Larry Peerce
100091,Buck Henry
100092,Wing-Cho Yip
100093,Steven Spielberg
100094,Lawrence Kasdan
100097,Sam Raimi
100098,Bob Clark
100100,Desmond Davis
100101,John Boorman
100102,George Miller
100103,Wolfgang Petersen
100104,Ivan Reitman
100105,Andrzej Zulawski
100107,Michael Mann
100108,Franco Zeffirelli
100109,Terry Gilliam
100110,Alan Alda
100111,Steve Miner
100112,David Cronenberg
100113,John Glen
100114,Rick Rosenthal
100115,Harold Becker
100116,Warren Beatty
100117,Mark Rydell
100118,Directors
100119,Hugh Hudson
100120,Sydney Pollack
100121,John Derek
