id_star,name_s
200001,Jack Nicholson
200002,Brooke Shields
200003,Mark Hamill
200004,Robert Hays
200005,Chevy Chase
200006,Betsy Palmer
200007,John Belushi
200008,Robert De Niro
200009,Gene Hackman
200010,David Carradine
200011,Clint Eastwood
200012,N!xau
200013,Robin Williams
200014,Donald Sutherland
200015,Michael Caine
200016,Christopher Reeve
200017,Eddie Barth
200018,Jane Fonda
200019,Adrienne Barbeau
200020,Gene Wilder
200021,Al Pacino
200022,Kris Kristofferson
200023,Kirk Douglas
200024,Olivia Newton-John
200025,John Travolta
200026,William Hurt
200027,Tatum O'Neal
200028,Jason Robards
200029,Robert Redford
200030,Richard Gere
200031,Chris Makepeace
200032,Leslie Nielsen
200033,Burt Reynolds
200034,Scott Glenn
200035,Goldie Hawn
200037,Tony Danza
200038,Rory Calhoun
200039,Laurence Olivier
200040,Sissy Spacek
200041,Bette Davis
200042,Edward Woodward
200043,Peter O'Toole
200044,Peter Boyle
200045,Charlton Heston
200046,Cheech Marin
200048,Suzanna Love
200049,Don Adams
200050,Anthony Quinn
200051,Woody Allen
200052,Paul Le Mat
200053,Ray Simpson
200055,Marcello Mastroianni
200056,Tim Conway
200057,Paul Newman
200059,Chuck Norris
200060,Darren McGavin
200061,Charles Martin Smith
200062,Richard Dreyfuss
200063,Jill Clayburgh
200064,Willie Nelson
200065,Ellen Burstyn
200066,Dom DeLuise
200067,Vera Alentova
200068,Peter Sellers
200069,Martin Mull
200070,John Ritter
200071,Dudley Moore
200072,Scott Beach
200073,Marty Feldman
200074,Meat Loaf
200075,Ali MacGraw
200076,Elliott Gould
200077,Walter Matthau
200078,Michael Ontkean
200079,David N. Haynes
200080,Trevor Howard
200081,Paul Michael Glaser
200082,Talia Shire
200083,Shirley MacLaine
200084,Jean Martin
200085,George Burns
200086,Frank Langella
200087,Michel Serrault
200088,Chuck Barris
200089,Gilda Radner
200090,Treat Williams
200091,Bob Newhart
200092,Ka-Yan Leung
200093,Harrison Ford
200095,David Naughton
200096,Kurt Russell
200097,Bruce Campbell
200098,Dan Monahan
200101,Nigel Terry
200102,Mel Gibson
200103,Jürgen Prochnow
200104,Bill Murray
200105,Isabelle Adjani
200107,James Caan
200109,Sean Connery
200110,Alan Alda
200112,Jennifer O'Neill
200113,Roger Moore
200114,Jamie Lee Curtis
200115,George C. Scott
200116,Warren Beatty
200117,Katharine Hepburn
200118,Mickey Rooney
200119,Ben Cross
200121,Bo Derek
200124,Andre Gregory
200125,Ringo Starr
200126,James Farentino
200127,Mel Brooks
200128,Dee Wallace
200129,Peter MacNicol
200130,Jeff Bridges
200131,Everett McGill
200132,Sam Neill
200133,Faye Dunaway
200134,Sylvia Kristel
200136,James Cagney
200137,Maren Jensen
200141,Keith Carradine
200142,Julie Andrews
200143,Catriona MacColl
200144,Craig Wasson
200145,Paul Kelman
200146,Elizabeth Berridge
200147,Frederic Forrest
200148,Meryl Streep
200149,Jim Henson
200151,Albert Finney
200152,Sylvester Stallone
200156,Nell Schofield
200159,Kristen Riter
200163,Wilhelmenia Fernandez
200164,Klaus Kinski
200166,Lauren Tewes
200167,George Hamilton
200169,George Segal
200170,Lily Tomlin
200171,Kristy McNichol
200173,Christopher George
200175,Steve Martin
200176,Mews Small
200177,Klinton Spilsbury
200178,Lesley-Anne Down
200179,Leonard Mann
200181,Daniel Valdez
200182,Jacqueline Bisset
200183,Jack Lemmon
200184,Richard Pryor
200185,Albert Brooks
200186,Andy Kaufman
200187,Sally Field
200193,Robert Duvall
200195,Marsha Mason
200196,David Rasche
200198,Harry Hamlin
200199,Pepper Martin
200201,John Savage
200202,Leif Garrett
200203,Tony Anthony
200204,Bulle Ogier
