id_writer,name_w
300001,Stephen King
300002,Henry De Vere Stacpoole
300003,Leigh Brackett
300004,Jim Abrahams
300005,Brian Doyle-Murray
300006,Victor Miller
300007,Dan Aykroyd
300008,Jake LaMotta
300009,Jerry Siegel
300010,Bill Bryden
300011,Stanford Sherman
300012,Jamie Uys
300013,Jules Feiffer
300014,Judith Guest
300015,Brian De Palma
300016,Richard Matheson
300017,Christopher Gore
300018,Patricia Resnick
300019,John Carpenter
300020,Bruce Jay Friedman
300021,William Friedkin
300022,Michael Cimino
300023,Thomas Hunter
300024,Richard Christian Danus
300025,Aaron Latham
300026,Paddy Chayefsky
300027,Kimi Peck
300028,Adam Kennedy
300029,W.D. Richter
300030,Paul Schrader
300031,Alan Ormsby
300032,William Gray
300033,Hal Needham
300034,David Eyre
300035,Neil Simon
300036,Nancy Meyers
300037,Floyd Mutrux
300038,Robert Jaffe
300039,Samson Raphaelson
300040,Thomas Rickman
300041,Brian Clemens
300042,Jonathan Hardy
300043,Lawrence B. Marcus
300044,Hunter S. Thompson
300045,Allan Scott
300046,Tommy Chong
300047,Peter Benchley
300048,Ulli Lommel
300049,Mel Brooks
300050,David Butler
300051,Woody Allen
300052,Bo Goldman
300053,Bronte Woodard
300054,Dennis Hackin
300055,Federico Fellini
300056,Tim Conway
300057,Gordon Thomas
300058,Rod Browning
300059,Leigh Chapman
300060,Ken Pettus
300061,Don Tait
300062,Joel Oliansky
300063,Eleanor Bergstein
300064,Gösta Stevens
300065,Lewis John Carlino
300066,Anne Bancroft
300067,Valentin Chernykh
300068,Rudy Dochtermann
300069,Cyra McFadden
300070,AJ Carothers
300071,Guy Thomas
300072,Charles M. Schulz
300073,Marty Feldman
300074,Big Boy Medlin
300075,Jay Presson Allen
300076,Ernest K. Gann
300077,Damon Runyon
300078,Jean Gruault
300079,Franco Rosso
300080,Ray Goldrup
300081,Gary Sherman
300082,Barry Siegel
300083,Martin Donovan
300084,Hans Christian Andersen
300085,Josh Greenfeld
300086,David Shaber
300087,Jean Poiret
300088,Chuck Barris
300089,Anne Beatts
300090,Hollis Hodges
300091,Buck Henry
300092,Hsin-Yi Chang
300093,Lawrence Kasdan
300095,John Landis
300097,Sam Raimi
300098,Bob Clark
300100,Beverley Cross
300101,Thomas Malory
300102,Terry Hayes
300103,Wolfgang Petersen
300104,Len Blum
300105,Andrzej Zulawski
300106,Brock Yates
300107,Frank Hohimer
300108,Scott Spencer
300109,Michael Palin
300110,Alan Alda
300111,Ron Kurz
300112,David Cronenberg
300113,Richard Maibaum
300115,Darryl Ponicsan
300116,Warren Beatty
300117,Ernest Thompson
300118,Daniel P. Mannix
300119,Colin Welland
300120,Kurt Luedtke
300121,Tom Rowe
300122,Yabo Yablonsky
300123,Steve Gordon
300124,Wallace Shawn
300125,Rudy De Luca
300126,Jeff Millar
300128,Gary Brandner
300129,Hal Barwood
300130,Newton Thornburg
300131,Gérard Brach
300132,David Seltzer
300133,Christina Crawford
300134,Dan Greenburg
300135,David Mamet
300136,E.L. Doctorow
300137,Glenn M. Benest
300138,Steve Tesich
300139,David Williamson
300140,Peter Hyams
300141,Michael Kane
300142,Blake Edwards
300143,Dardano Sacchetti
300144,Peter Straub
300145,Stephen A. Miller
300146,Lawrence J. Block
300147,Armyan Bernstein
300148,John Fowles
300149,Tom Patchett
300150,John Gregory Dunne
300151,Michael Crichton
300154,William Diehl
300155,Thomas Berger
300156,Margaret Kelly
300157,Ken Follett
300158,Whitley Strieber
300159,Mickey Rose
300161,Marc Brandel
300163,Daniel Odier
